uri,count(*)
http://acm.rkbexplorer.com/ontologies/acm#B.4.3.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.4.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.4.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.4.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.4.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.5.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.4.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.2.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.3.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.5.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.6,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.1.6,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.2.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.3.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.6.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.7,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.5,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.6,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.1.7,27
